	Haltung	Begründung	true	model	run
11	neutral	Der Artikel befürwortet progressive Elemente wie Bildung und Erwerbsarbeit für Frauen sowie selbstständige Lebensentwürfe für unverheiratete Frauen, lehnt aber gleichzeitig das Frauenwahlrecht und politische Partizipation strikt ab und idealisiert die traditionelle Rolle der Frau in der Häuslichkeit als Mutter und Ehefrau. Damit vertritt er sowohl progressive als auch konservative Positionen zum Thema Gender.	konservativ	deepseek/deepseek-r1-0528:free	1
12	progressiv	Der Artikel stellt die Glasmalerei explizit als geeigneten und aussichtsreichen Beruf für Frauen dar, betont ihre künstlerische Eignung und fördert praktisch ökonomische Unabhängigkeit durch detaillierte Verdienstangaben. Die Gründung eines speziellen zweijährigen Lehrgangs für Frauen zeigt aktiv die Förderung ihrer beruflichen Bildung und Erwerbstätigkeit.	progressiv	deepseek/deepseek-r1-0528:free	1
13	konservativ	Der Artikel argumentiert, dass natürliche biologische Unterschiede Frauen für höhere geistige Arbeit ungeeignet machen, lehnt Frauenrechte wie gleiche Bildung und Berufstätigkeit explizit ab, und reduziert die Rolle der Frau auf Mutterschaft und Kindererziehung, was einem traditionellen Familienbild entspricht.	konservativ	deepseek/deepseek-r1-0528:free	1
14	progressiv	Der Artikel befürwortet aktiv den Berufsweg für gebildete Frauen in der psychiatrischen Pflege und betont deren Möglichkeiten zur Professionalisierung. Statt einem idealisierten Familienbild folgt der Fokus auf sinnstiftende Erwerbsarbeit und flexible Einsatzgebiete (Krankenpflege, Erziehung, Gemeindearbeit), was erweiterte Rollen für Frauen jenseits traditioneller Haushaltsführung ermöglicht.	progressiv	deepseek/deepseek-r1-0528:free	1
15	progressiv	Der Artikel fördert aktiv Frauenberufe wie die Hilfspräparatorin und Graphologin, betont deren Bildungsmöglichkeiten und Erwerbsfähigkeit in spezialisierten Feldern. Durch die praktische Darstellung der Karrierechancen und ökonomischen Unabhängigkeit unterstützt er das Konzept von Berufstätigkeit für Frauen außerhalb traditioneller Rollen.	progressiv	deepseek/deepseek-r1-0528:free	1
16	progressiv	Der Artikel befürwortet aktiv das akademische Studium von Frauen als Voraussetzung für Berufstätigkeit in Bereichen wie Medizin, Lehre und Mission, überwindet dabei ausdrücklich gesellschaftliche Vorurteile. Er fördert die Vernetzung und Selbstbestimmung studierender Frauen durch Bildung (Bibelstudium, Missionarsausbildung) sowie soziales Engagement, was einer Ausweitung weiblicher Handlungsräume jenseits traditioneller Rollen entspricht.	progressiv	deepseek/deepseek-r1-0528:free	1
17	konservativ	Der Artikel lehnt moderne weibliche Lebensstile (etwa Vergnügungssucht, Arbeitsvermeidung im Haushalt) scharf ab und idealisiert das traditionelle Bild der ‚tüchtigen Hausfrau‘ als Kern der Familie. Geschlechterrollen werden eindeutig festgeschrieben: Frauen sollen in erster Linie für ‚häusliche Arbeit‘ und den ‚Hausfrauenberuf‘ erzogen werden, während neue Berufswege nur als sekundär betrachtet werden.	konservativ	deepseek/deepseek-r1-0528:free	1
18	konservativ	Der Artikel lehnt den Beruf des Klavierstimmers für Frauen als generell ungeeignet ab, indem er stereotype physische (fehlende Körperkräfte) und nervliche Defizite von Frauen betont. Er erklärt das Fehlen berufsmäßiger Klavierstimmerinnen in Deutschland als natürliche Gegebenheit und bewertet Erfolgsberichte als unrealistische Übertreibungen, wodurch er traditionelle Geschlechterrollen konserviert.	konservativ	deepseek/deepseek-r1-0528:free	1
19	progressiv	Der Artikel unterstützt explizit die ländliche Frauenbewegung, die sich für bessere Bildung, wirtschaftliche Absicherung und die Hebung des Status von Frauen einsetzt. Er kritisiert die ungleiche Ausbildungssituation (bspw. fehlende Berufsschulen für Landmädchen) und würdigt Frauen als essentielle Arbeitskräfte in der Landwirtschaft (4,6 Mio. berufstätige Frauen). Die Beschreibung der Bewegung als Streben nach 'vertiefter Bildung' und 'besseren Existenzmöglichkeiten' zeigt eine klare Befürwortung weiblicher Emanzipation.	progressiv	deepseek/deepseek-r1-0528:free	1
20	konservativ	Der Text lehnt Frauenemanzipation wie akademische Berufe (insbesondere Ärztinnen) strikt ab und diffamiert sie als ‚Blaubstrümpfe‘. Er verteidigt ausschließlich die traditionelle Rolle der Frau als Mutter und Haushälterin und unterstützt lediglich niedere Berufsausbildungen für unverheiratete Frauen als Notlösung. Die Kritik an der Frauenbewegung und die Idealisierung natürlicher Schamgrenzen zwischen den Geschlechtern unterstreichen die konservative Grundhaltung.	konservativ	deepseek/deepseek-r1-0528:free	1
21	konservativ	Der Artikel stellt zwar eine gewisse finanzielle Selbständigkeit der Braut bei der Aussteuer-Beschaffung heraus, vertritt aber eindeutig konservative Geschlechterrollen: Er argumentiert, dass Söhne mehr Investitionen in ihre Ausbildung verdienen, da sie als künftige Ernährer gelten, während Frauen wirtschaftlich vom Ehemann abhängig bleiben ('Mitgenuss der Zinsen'). Die gesamte Darstellung idealisiert das traditionelle Familienmodell mit der Frau als Haushälterin in untergeordneter Position.	progressiv	deepseek/deepseek-r1-0528:free	1
22	konservativ	Der Artikel argumentiert gegen die selbständige Vermögensverwaltung von Frauen in der Ehe und rechtfertigt das geltende Recht, bei dem der Mann die Kontrolle behält. Er idealisiert traditionelle Geschlechterrollen (Mann als Versorger und Entscheidungsträger) und diffamiert Frauenrechtlerinnen als realitätsfremde 'Ideologen' bzw. gelangweilte Privilegierte, während er die Forderung nach Gleichberechtigung als schädlich für die Familie darstellt.	konservativ	deepseek/deepseek-r1-0528:free	1
23	anderes Thema	Der Artikel diskutiert ausschließlich die angemessene Berufskleidung von Lehrerinnen im Kontext ihrer Wirkung auf Schüler:innen, ohne Bezug zu gesellschaftlichen Gender-Debatten wie Frauenrechten, Bildungschancen, Erwerbsarbeit oder Familienbildern. Die Kernfragen progressiver oder konservativer Gender-Haltungen werden nicht thematisiert.	neutral	deepseek/deepseek-r1-0528:free	1
24	progressiv	Der Artikel fördert aktiv die Erwerbstätigkeit von Frauen in der Industrie, beschreibt Karriereaufstiege bis zu leitenden Positionen und betont explizit, dass Frauen genug verdienen können, um eine Familie zu ernähren. Zudem werden Frauen als ökonomisch unabhängige Akteurinnen adressiert (auch Witwen oder Ältere), ohne traditionelle Rollenbilder zu erwähnen.	progressiv	deepseek/deepseek-r1-0528:free	1
25	konservativ	Der Artikel idealisiert ein traditionelles Frauenbild, indem er Frauen auf eine bestimmte Rolle im Literaturbetrieb reduziert, ihre ästhetischen Vorlieben als oberflächlich und gefühlsbetont darstellt und männliche Literatur als überlegen bezeichnet. Er kritisiert subtil den Einfluss von Frauen auf die Literatur und deutet an, dass dieser zu einer 'schwindsüchtigen Literatur' führe. Die Thematisierung des Frauenwahlrechts am Ende erfolgt ironisch.	konservativ	google/gemini-2.5-flash	1
26	konservativ	Der Artikel idealisiert traditionelle Rollenbilder für Frauen – sie sind Ehefrauen, Mütter und Haushälterinnen. Obwohl ihre ökonomische Rolle und ihr 'mildes Regiment' anerkannt werden, bleibt ihr Einfluss auf den häuslichen Bereich beschränkt. Die Bildung von Mädchen wird erwähnt, aber die 'Halbbildung' wird als 'Fluch unserer Zeit' kritisiert, was die Begrenzungen der Mädchenbildung und der Möglichkeiten für Frauen andeutet.	neutral	google/gemini-2.5-flash	1
27	konservativ	Der Artikel idealisiert ein traditionelles Familienbild, indem er die Rolle der Frau auf die Mutterschaft und die Haushaltsführung reduziert und die 'Frauenbewegung' als schädlich für die Rasse und das Volkstum ansieht, da sie Frauen von der Fortpflanzung abhalte.	anderes Thema	google/gemini-2.5-flash	1
28	progressiv	Der Artikel befürwortet die Einstellung von Frauen als Armenpflegerinnen und betont ihre Fähigkeit, diese Rolle erfolgreich auszuüben, was zu mehr Erwerbsmöglichkeiten für Frauen führt. Er hebt hervor, dass Frauen in dieser Position sogar 'beratende' oder 'beschließende' Stimme in Kommissionen hatten, was einer Gleichberechtigung in bestimmten Funktionen nahekommt und somit weg von traditionellen Geschlechterrollen führt.	progressiv	google/gemini-2.5-flash	1
29	progressiv	Der Artikel stellt die Frauenbewegung als notwendige und nützliche Reaktion auf gesellschaftliche Veränderungen dar, die sich für die Bildung, Erwerbstätigkeit und Rechte von Frauen aller Schichten einsetzt und deren Errungenschaften aufzählt. Er betont die Notwendigkeit der Frauenbewegung, da die Frauen in vielen Berufen in der Industrie Fuß gefasst haben und das 'Haus' ihnen keine wirtschaftliche Versorgung mehr bieten konnte.	progressiv	google/gemini-2.5-flash	1
30	neutral	Der Text beschreibt eine Kultur, in der Frauen eine ungewöhnlich starke Position innehaben, ohne dies explizit zu befürworten oder abzulehnen. Er stellt die extreme Gleichberechtigung, teils sogar Überlegenheit der Frauen bei den Basken dar, kritisiert aber gleichzeitig, dass die Frauen ihr Recht persönlich nicht ausüben und es Männern übertragen. Dies deutet auf eine Distanzierung hin, die eine klare progessive oder konservative Haltung verhindert, sondern primär eine faszinierende Beobachtung eines 'gelösten' Problems darstellt, ohne eine direkte Empfehlung dafür auszusprechen.	konservativ	google/gemini-2.5-flash	1
31	konservativ	Der Artikel beschreibt die 'Arbeiterinnenfrage' aus einer konservativen Perspektive, indem er die Gefahren der Erwerbsarbeit von Frauen für 'Gesundheit, Sittlichkeit, Familienleben und Familienwirtschaft' betont und das Ideal der 'tüchtigen Hausfrauen und Mütter' hervorhebt. Obwohl er gewerkschaftliche Organisation und Arbeiterschutzgesetzgebung fordert, geschieht dies primär zur Verhinderung des 'Verlumpen[s] und Verlottern[s]' der Frauen, was die Fokussierung auf traditionelle Rollenmuster unterstreicht, anstatt progressive Frauenrechte zu unterstützen.	falsch	google/gemini-2.5-flash	1
32	konservativ	Der Artikel idealisiert stereotype Geschlechterrollen, in denen die Frau als Gehilfin des Mannes und Hüterin des Heims dargestellt wird. Obwohl der Text Frauen zur Übernahme neuer Verantwortlichkeiten im Krieg auffordert, geschieht dies im Rahmen der Bewahrung dieses traditionellen Familienbildes und dient der Unterstützung der Männer im Krieg, nicht der Stärkung der Eigenständigkeit von Frauen oder der Forderung nach neuen Rechten.	konservativ	google/gemini-2.5-flash	1
33	progressiv	Der Artikel beschreibt die Gründung und Tätigkeit eines Frauenbundes, der Frauen dazu ermutigt, sich politisch und volkswirtschaftlich weiterzubilden und am öffentlichen Leben teilzunehmen. Er betont die Notwendigkeit der Bürgerkunde für Frauen, um 'politisches Analphabetentum' zu bekämpfen, was für die damalige Zeit eine progressive Forderung darstellt, da es die Bildung und politische Mündigkeit von Frauen fördert.	progressiv	google/gemini-2.5-flash	1
34	konservativ	Der Artikel postuliert zwar die grundsätzliche Zugänglichkeit aller Berufe für Frauen, argumentiert aber im Weiteren, dass 'weibliche Berufe' primär solche sind, die sich aus den Tätigkeiten einer Ehefrau, Mutter und Hausfrau ableiten. Dies idealisiert ein traditionelles Familienbild und spricht sich gegen die vollständige berufliche Gleichstellung von Männern und Frauen aus.	ambivalent	google/gemini-2.5-flash	1
35	progressiv	Der Artikel unterstützt indirekt die Bildung von Frauen, indem er eine Vorbereitungsanstalt für das Abiturientenexamen für Damen empfiehlt. Außerdem kritisiert er die Ausbeutung von Haushaltungslehrerinnen, was auf ein Bewusstsein für die Arbeitsrechte von Frauen hindeutet.	progressiv	google/gemini-2.5-flash	1
36	neutral	Der Artikel unterstützt die Bildung und Erwerbstätigkeit von Frauen, was progressiv ist. Gleichzeitig lehnt er die politische Beteiligung von Frauen und das Aufgeben traditioneller weiblicher Rollen ab, was eine konservative Haltung darstellt. Daher kann der Text nicht eindeutig einer der beiden Kategorien zugeordnet werden.	konservativ	google/gemini-2.5-flash	1
37	progressiv	Der Artikel ist progressiv, da er die Eignung von Frauen für einen künstlerischen Beruf (Glasmalerei) hervorhebt, der ihnen neue Arbeitsmöglichkeiten und finanziellen Verdienst eröffnet. Er betont die Fähigkeiten der Frauen in diesem für sie neuen Arbeitsgebiet und beschreibt die Ausbildung und Verdienstmöglichkeiten, was die ökonomische Unabhängigkeit von Frauen fördert.	progressiv	google/gemini-2.5-flash	1
38	konservativ	Der Artikel lehnt die Gleichstellung der Geschlechter in intellektueller und gesellschaftlicher Hinsicht ab und propagiert ein traditionelles Frauenbild, das auf Mutterschaft und häusliche Rolle beschränkt ist. Er argumentiert anthropologisch und physiologisch gegen die intellektuelle Ebenbürtigkeit von Frauen und kritisiert Bestrebungen nach Frauenrechten und höherer Bildung für Frauen.	konservativ	google/gemini-2.5-flash	1
39	progressiv	Der Artikel schlägt vor, den Beruf der Irrenpflegerin für Mädchen aus gebildeten Ständen zu empfehlen. Er fördert die Erwerbstätigkeit von Frauen in einem damals untypischen Berufsfeld und spricht sich für flexible Einsatzmöglichkeiten aus, was die berufliche Entfaltung von Frauen unterstützt.	progressiv	google/gemini-2.5-flash	1
40	progressiv	Der Artikel stellt 'Neue Frauenberufe' vor, die Frauen die Ausübung von Erwerbstätigkeit ermöglichen und dies sogar als positiv und als Möglichkeit zur finanziellen Eigenständigkeit hervorhebt. Dies steht im Gegensatz zum traditionellen Bild der Frau als Hausfrau und betont die Erweiterung der beruflichen Möglichkeiten für Frauen.	progressiv	google/gemini-2.5-flash	1
41	progressiv	"Der Artikel befürwortet explizit das akademische Studium von Frauen und deren Eintritt in Berufe wie Ärztinnen und Lehrerinnen, was zu dieser Zeit als emanzipatorisch galt. Er hebt die Überwindung von Vorurteilen hervor und betont die ""tatkräftige Hilfe und Mitarbeit"" der studierenden Frauen für die Gesellschaft."	progressiv	google/gemini-2.5-flash	1
42	konservativ	Der Artikel kritisiert vehement die angebliche 'Vergnügungssucht' und 'Nichtstätigkeit' von Frauen, insbesondere aus bürgerlichen Kreisen, und idealisiert die traditionelle Rolle der Hausfrau. Er fordert, Frauen auf häusliche Pflichten und Hausarbeit zu erziehen und lehnt höhere Bildung für Mädchen ab, die nicht 'praktisch' ist und mit dem Haushalt in Beziehung steht.	konservativ	google/gemini-2.5-flash	1
43	konservativ	Der Artikel rät Frauen explizit davon ab, Klavierstimmerin zu werden, indem er die physischen Anforderungen des Berufs und die Notwendigkeit von Kenntnissen im Klavierbau überbetont. Er lehnt die Vorstellung ab, dass dieser Beruf für Frauen geeignet ist, und kritisiert Berichte über erfolgreiche Klavierstimmerinnen als 'novellistisch angehaucht'.	konservativ	google/gemini-2.5-flash	1
44	progressiv	Der Artikel befürwortet explizit eine vertiefte Bildung und bessere Existenzmöglichkeiten für Frauen, insbesondere im ländlichen Raum. Er beklagt den Mangel an Berufsbildungsmöglichkeiten für Landmädchen und Landarbeiterinnen und sieht darin ein zentrales Thema der Frauenfrage und Sozialen Frage. Die „ländliche Frauenbewegung“ wird positiv als Streben nach Verbesserung des kulturellen Lebens auf dem Lande beschrieben.	progressiv	google/gemini-2.5-flash	1
45	konservativ	Der Artikel idealisiert ein traditionelles Frauenbild, in dem die Rolle der Frau hauptsächlich auf Ehe, Mutterschaft und häusliche Arbeiten beschränkt ist. Er kritisiert das höhere Bildunsgwesen für Frauen und lehnt die Forderung nach akademischer Bildung für Frauen ab, da dies ihrer 'natürlichen Bestimmung' widersprechen würde. Die Autorin spricht sich gegen Frauenuniversitäten aus und betont, dass Frauenberufe im Wettbewerb mit Männern 'kläglich unterliegen müssen'.	konservativ	google/gemini-2.5-flash	1
46	konservativ	Der Artikel lehnt die Forderung nach eigenständiger Vermögensverwaltung für Frauen ab und argumentiert, dass eine gesetzliche Regelung unnötig sei, da Frauen ihren Einfluss auf den Mann auch ohne neue Gesetze geltend machen könnten. Er idealisiert das traditionelle Familienbild, in dem der Mann die Verantwortung und Verfügungsbefugnis trägt, und stellt Frauenrechtlerinnen als 'nichtsnutzig' dar, die keine Ahnung von der Realität haben. Dies untermauert klar eine konservative Haltung.	konservativ	google/gemini-2.5-flash	1
47	anderes Thema	Der Artikel behandelt das Thema Kleidung von Lehrerinnen und deren Einfluss auf Kinder, nicht jedoch Fragen der Frauenrechte, Bildung oder Erwerbstätigkeit von Frauen. Es geht um Ästhetik und psychologische Wirkung von Kleidung, nicht um Geschlechterrollen im gesellschaftlichen Kontext.	neutral	google/gemini-2.5-flash	1
48	progressiv	Der Artikel befürwortet die Erwerbstätigkeit von Frauen in der Wollwarenbranche und hebt die Möglichkeit hervor, finanziell unabhängig zu werden und sogar eine Familie zu ernähren. Dies steht im Kontrast zum traditionellen Rollenbild der Frau als ausschließliche Hausfrau.	progressiv	google/gemini-2.5-flash	1
49	konservativ	Der Artikel kritisiert den wachsenden weiblichen Einfluss in der Literatur und beschreibt ihn als verweichlichend. Er idealisiert zugleich eine männliche, 'starke' Literatur und stellt damit ein eher traditionelles Geschlechterbild dar. Eine Befürwortung von Frauenrechten oder gesellschaftlicher Gleichstellung ist nicht erkennbar.	konservativ	openai/o1	1
50	konservativ	Der Artikel stellt die Frau vor allem als Ehefrau und Hausfrau neben dem Soldaten dar und hinterfragt diese Rolle nicht. Vielmehr wird ein traditionelles Familienbild beschrieben und keine Forderung nach weitergehenden Frauenrechten erhoben.	neutral	openai/o1	1
51	konservativ	Der Text idealisiert eine traditionelle Rolle der Frau als Mutter und Hausfrau und lehnt die Frauenbewegung ab. Er spricht sich gegen Erwerbsarbeit für Frauen aus und fordert stattdessen eine Stärkung des klassischen Familienmodells.	anderes Thema	openai/o1	1
52	progressiv	Der Text begrüßt und fördert die offizielle Einbeziehung von Frauen in die Armenpflege und verleiht ihnen dabei gleiche Rechte wie Männern. Er betont ihre besondere Eignung und ruft zu einer entsprechenden Ausbildung auf. Dies stellt im Kontext der damaligen Zeit eine fortschrittliche Haltung dar.	progressiv	openai/o1	1
53	progressiv	Der Text setzt sich eindeutig für die Frauenbewegung ein, fordert eine bessere Ausbildung und berufliche Möglichkeiten für Frauen und betont den Nutzen dieser Veränderungen für Gesellschaft und Staat. Damit vertritt er eine fortschrittliche Haltung, indem er die Emanzipation der Frau als unvermeidliche und gemeinnützige Entwicklung darstellt.	progressiv	openai/o1	1
54	konservativ	Der Artikel schildert das baskische Matriarchat zwar ausführlich, jedoch spöttisch und nutzt es eher als Argument gegen ein modernes Eintreten für Frauenrechte. Damit zeigt er wenig Sympathie für die Anliegen der Frauenbewegung und wirkt insgesamt konservativ.	konservativ	openai/o1	1
55	progressiv	Der Text tritt für bessere Schutzgesetze und gewerkschaftliche Organisation für arbeitende Frauen ein und fordert soziale Reformen statt bloßer Wohltätigkeit. Damit erkennt er die besondere Benachteiligung erwerbstätiger Frauen an und setzt sich für ihre Rechte ein.	falsch	openai/o1	1
56	konservativ	Der Text betont die Frau als Gehilfin und Hüterin des Hauses, während der Mann im Krieg kämpft. Er idealisiert das traditionelle Familienbild und fordert keine zusätzlichen Freiheiten oder Rechte für Frauen, sondern konzentriert sich auf Pflicht und Opferbereitschaft in der häuslichen Sphäre.	konservativ	openai/o1	1
57	progressiv	Der Artikel befürwortet eine gezielte politische und wirtschaftliche Bildung von Frauen und ruft sie dazu auf, sich aktiv für das Vaterland zu engagieren. Damit fördert er für die damalige Zeit eine erweiterte gesellschaftliche Rolle der Frau über das rein häusliche Umfeld hinaus.	progressiv	openai/o1	1
58	konservativ	Der Artikel betont eine 'natürliche' Rolle der Frau als Ehefrau und Mutter und sieht andere Berufe nur als Ersatz. Diese Sichtweise idealisiert das traditionelle Familienbild und ordnet Erwerbsarbeit klar den häuslichen Pflichten unter.	ambivalent	openai/o1	1
59	progressiv	Der Text befürwortet ausdrücklich die höhere Bildung von Frauen und kritisiert die Ausnutzung weiblicher Arbeitskraft. Damit spricht er sich für mehr Rechte und faire Bedingungen für Frauen aus.	progressiv	openai/o1	1
60	konservativ	Der Text räumt Frauen zwar Bildung und Erwerbstätigkeit ein, lehnt aber ihr Wahlrecht und politische Mitbestimmung ab. Damit verteidigt er die traditionelle Rollenverteilung und zeigt eine konservative Haltung.	konservativ	openai/o1	1
61	progressiv	Der Artikel unterstützt ausdrücklich, dass Frauen in der Glasmalerei ausgebildet werden und ihren Lebensunterhalt damit verdienen können. Er lobt ihre künstlerische Eignung und stellt dies als für Frauen geeignetes neues Arbeitsfeld dar.	progressiv	openai/o1	1
62	konservativ	Der Text legt dar, dass Frauen Männern intellektuell und körperlich unterlegen seien und betont die Mutterrolle als einzige 'Mission' der Frau. Er lehnt damit eine Gleichstellung in Bildung, Beruf und Gesellschaft ab.	konservativ	openai/o1	1
63	progressiv	Der Text ermuntert gebildete junge Frauen ausdrücklich zum Beruf in der Irrenpflege und eröffnet ihnen damit eine eigenständige berufliche Perspektive. Außerdem wird betont, dass sie in verschiedenen Bereichen der Pflege tätig sein können, was auf eine Ausweitung der traditionellen Frauenrolle hindeutet.	progressiv	openai/o1	1
64	progressiv	Der Artikel stellt neue Erwerbsmöglichkeiten für Frauen vor und zeigt, wie sie selbstständig in diesen Berufen tätig werden können. Er ermutigt Frauen, sich beruflich zu betätigen und macht deutlich, dass sie darin Anerkennung und finanziellen Erfolg finden können.	progressiv	openai/o1	1
65	progressiv	Der Artikel propagiert das akademische Studium für Frauen und ermutigt sie zum Berufseintritt (z. B. als Ärztinnen oder Lehrerinnen). Damit vertritt er für die damalige Zeit eine eindeutig fortschrittliche Haltung.	progressiv	openai/o1	1
66	konservativ	Der Text plädiert für ein traditionelles Rollenbild und betont die Hausfrauentätigkeit als Ideal, während er moderne Vergnügungen und Freiheiten für Frauen kritisiert. Ein Aufbrechen dieser klassischen Geschlechterbilder wird abgelehnt.	konservativ	openai/o1	1
67	konservativ	Der Text argumentiert, dass Frauen den Beruf der Klavierstimmerin aufgrund körperlicher Anforderungen und fehlender Möglichkeiten nicht ausüben können. Er betont traditionelle Geschlechterrollen, indem er Frauen diese Arbeit abspricht. Damit lehnt er weibliche Erwerbstätigkeit in diesem Bereich ab.	konservativ	openai/o1	1
68	progressiv	Der Artikel plädiert für die bessere Ausbildung und gesellschaftliche Anerkennung von Frauen in der Landwirtschaft. Er stellt damit eine fortschrittliche Haltung dar, da er für mehr Bildungschancen und eine Hebung des weiblichen Standes eintritt.	progressiv	openai/o1	1
69	konservativ	Der Text lehnt weibliche Emanzipationsbestrebungen wie universitäre Bildung ab, idealisiert die Rolle der Frau als Mutter und Hausfrau und kritisiert 'Blaustrümpfe'. Damit vertritt er ein traditionelles, konservatives Rollenverständnis.	konservativ	openai/o1	1
70	konservativ	Der Artikel unterstreicht die traditionelle Rollenverteilung, indem er Männern die finanzielle Verantwortung für den Haushalt zuschreibt und Frauen zur Anpassung an ein geringeres Budget ermutigt. Er bezeichnet die höhere Investition in die Ausbildung der Söhne als gerechtfertigt, während die Töchter auf Gleichstellung verzichten sollen.	progressiv	openai/o1	1
